0001	晴れ	docomo/1.gif	F89F	63647		E63E	#ff0000	
0002	曇り	docomo/2.gif	F8A0	63648		E63F	#0000ff	
0003	雨	docomo/3.gif	F8A1	63649		E640	#0000ff	
0004	雪	docomo/4.gif	F8A2	63650		E641	#0000ff	
0005	雷	docomo/5.gif	F8A3	63651		E642	#ffa500	
0006	台風	docomo/6.gif	F8A4	63652		E643	#ff0000	
0007	霧	docomo/7.gif	F8A5	63653		E644	#0000ff	
0008	小雨	docomo/8.gif	F8A6	63654		E645	#0000ff	
0009	牡羊座	docomo/9.gif	F8A7	63655		E646	#ff0000	
0010	牡牛座	docomo/10.gif	F8A8	63656		E647	#ffa500	
0011	双子座	docomo/11.gif	F8A9	63657		E648	#008000	
0012	蟹座	docomo/12.gif	F8AA	63658		E649	#0000ff	
0013	獅子座	docomo/13.gif	F8AB	63659		E64A	#ff0000	
0014	乙女座	docomo/14.gif	F8AC	63660		E64B	#ffa500	
0015	天秤座	docomo/15.gif	F8AD	63661		E64C	#008000	
0016	蠍座	docomo/16.gif	F8AE	63662		E64D	#0000ff	
0017	射手座	docomo/17.gif	F8AF	63663		E64E	#ff0000	
0018	山羊座	docomo/18.gif	F8B0	63664		E64F	#ffa500	
0019	水瓶座	docomo/19.gif	F8B1	63665		E650	#008000	
0020	魚座	docomo/20.gif	F8B2	63666		E651	#0000ff	
0021	スポーツ	docomo/21.gif	F8B3	63667		E652	#ff00ff	
0022	野球	docomo/22.gif	F8B4	63668		E653	#000000	
0023	ゴルフ	docomo/23.gif	F8B5	63669		E654	#0000ff	
0024	テニス	docomo/24.gif	F8B6	63670		E655	#008000	
0025	サッカー	docomo/25.gif	F8B7	63671		E656	#000000	
0026	スキー	docomo/26.gif	F8B8	63672		E657	#0000ff	
0027	バスケットボール	docomo/27.gif	F8B9	63673		E658	#ffa500	
0028	モータースポーツ	docomo/28.gif	F8BA	63674		E659	#000000	
0029	ポケットベル	docomo/29.gif	F8BB	63675		E65A	#ff00ff	
0030	電車	docomo/30.gif	F8BC	63676		E65B	#008000	
0031	地下鉄	docomo/31.gif	F8BD	63677		E65C	#ffa500	
0032	新幹線	docomo/32.gif	F8BE	63678		E65D	#0000ff	
0033	車（セダン）	docomo/33.gif	F8BF	63679		E65E	#000000	
0034	車（ＲＶ）	docomo/34.gif	F8C0	63680		E65F	#008000	
0035	バス	docomo/35.gif	F8C1	63681		E660	#ff0000	
0036	船	docomo/36.gif	F8C2	63682		E661	#0000ff	
